No,제목,저자,출판사,가격,발행일,쪽수
1,트렌드 코리아 2022,"김난도(金蘭都), 전미영, 최지혜, 이향은, 이준영",미래의창,16200,211006,452
2,2022 현직교사들이 들려주는 면접레시피,"류은진, 양왕경, 이광한, 이지혜, 양왕경, 이광한, 이지혜",미래가치,42300,211112,1104
3,아직 오지 않은 날들을 위하여,파스칼 브뤼크네르/이세진 역,인플루엔셜,14400,211112,320
4,거인의 포트폴리오,강환국,페이지2북스,16200,211108,404
5,불편한 편의점(15만부 기념 윈터 에디션),김호연,나무옆의자,12600,210420,268
6,거꾸로 읽는 세계사,유시민(柳時敏),돌베개,15750,211029,404
6,달러구트 꿈 백화점,이미예,팩토리나인,12420,200708,300
8,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),소윤,북로망스,13500,210929,274
9,달러구트 꿈 백화점. 2,이미예,팩토리나인,12420,210727,308
10,오십에 읽는 논어,최종엽,유노북스,14400,211103,300
11,흔한남매. 9,"흔한남매, 백난도/유난희 그림",미래엔아이세움,12150,211209,192
12,투자는 디테일에 있다,김정환,부케이,16200,211210,424
12,웰씽킹(Wealthinking),켈리 최,다산북스,14400,211110,316
14,2022 사이다 면접,"이지수, 구영모, 이지수",박문각,31500,211120,624
15,미드나잇 라이브러리(25만부 기념 퍼플 에디션),매트 헤이그/노진선 역,인플루엔셜,14220,210428,408
